state,district_name,odop_product_name,odop_gi_tag,min_setup_cost,max_setup_cost,gross_margin_d2c,breakeven_timeline,opportunity_score,why_this_district,page_slug
Uttarakhand,Pithoragarh,Woollen Product,No,350000,1500000,60-75%,10-16 months,,"Pithoragarh's elevation (1,200-3,600m) and cold climate create ideal conditions for raising wool-bearing livestock. The region has a centuries-old tradition of hand-spinning and weaving wool, with local artisans maintaining traditional techniques. Access to pure, high-quality wool from local herds provides a sustainable raw material advantage.",woollen-product-pithoragarh
Uttarakhand,Rudraprayag,Wood crafts/Temple imitiation,No,150000,500000,60-75%,10-16 months,,"Rudraprayag's centuries-old temple architecture and pilgrimage significance create natural demand for authentic wooden temple imitations. The district's craftspeople have inherited traditional wood carving techniques passed down through generations, making it the epicenter of this specialized handicraft. Tourism from devotees visiting the sacred confluence drives consistent local and tourist demand.",wood-crafts-temple-imitiation-rudraprayag
Uttarakhand,Tehri Garhwal,Natural fibre,No,150000,3500000,60-75%,10-16 months,,"Tehri Garhwal's high-altitude terrain and traditional weaving heritage spanning centuries make it ideal for natural fibre production. The region's skilled artisan community, access to hemp, jute, and wool from local sources, and strong cultural commitment to sustainable practices create a competitive advantage in the growing eco-conscious textile market.",natural-fibre-tehri-garhwal
Uttarakhand,Udham Singh Nagar,Moonj Grass product,No,150000,450000,60-75%,10-16 months,6,"Udham Singh Nagar borders Uttar Pradesh where Moonj grass (Saccharum munja) naturally thrives in subtropical semi-arid climates. The district has 50 skilled artisans organized in clusters across Deshi Deoria, Bhatni, Sonughat, Behra Dabar, and Purvanchal villages with established supply chains for raw materials and dyeing inputs. Proximity to Delhi-NCR (4 hours) and UP urban markets provides direct buyer access for both wholesale and retail channels.",moonj-grass-product-udham-singh-nagar
Uttarakhand,Uttarkashi,Red Rice,No,180000,850000,52-68%,10-16 months,8,"Uttarkashi's high altitude, cool climate, and mineral-rich soil create ideal conditions for red rice cultivation. The district sits at 1,500-3,500m elevation with direct access to Himalayan water sources, producing a unique aromatic variety prized for antioxidant content. Raw material availability is zero-cost — farmers form the supply base, reducing sourcing friction.",red-rice-uttarkashi
West Bengal,Alipurduar,Wooden Furniture,No,150000,750000,50-65%,10-16 months,6,"Alipurduar sits in north Bengal with direct access to teak wood and solid wood supplies from forest regions. Over 80% SC/ST population provides a skilled artisan base with traditional woodworking knowledge. Proximity to Assam, Sikkim, and Bhutan creates a natural regional buyer market for furniture and home décor.",wooden-furniture-alipurduar
West Bengal,Bankura,Terracotta Craft,No,150000,800000,60-75%,10-16 months,8,"Panchmura village and Bishnupur are dedicated terracotta production zones with generations of artisan families and clay sourcing within the district. The Bankura Horse has achieved international recognition and museum-quality status, creating consistent high-margin export demand. Proximity to Eastern India's consumer markets and direct access to raw clay deposits support both local and bulk production.",terracotta-craft-bankura
West Bengal,Birbhum,Santiniketan Leather goods,No,200000,1200000,55-70%,9-16 months,8,"Santiniketan and surrounding villages have 80 years of leather craft tradition rooted in Visva-Bharati University's Rural Development Programme, which trained artisans in vegetable tanning and touch-dyeing techniques. Goatskin and sheepskin raw materials are locally sourced. The cluster is 250km from Kolkata and 150km from key export hubs, with direct access to Japan and US markets.",santiniketan-leather-goods-birbhum
West Bengal,Cooch Behar,Sital pati & its products,No,45000,250000,60-75%,10-16 months,7,"Cooch Behar has three established sital pati weaving clusters (Sagareswar, Ghugumari, Pashnadanga) with artisans trained in 14-15 strip splitting technique. Mutra cane grows naturally in local marshy and swampy areas, eliminating raw material sourcing costs. Proximity to Assam and Bangladesh markets provides direct buyer access.",sital-pati-its-products-cooch-behar
West Bengal,Dakshin Dinajpur,Wooden Mask & Wall Hanging,No,150000,500000,60-75%,10-16 months,,"Dakshin Dinajpur has a centuries-old tradition of skilled wood carvers who specialize in theatrical masks for Gambhira and Pala performances. The district's abundant sal and other timber forests provide direct access to raw materials, and artisans have inherited techniques passed down through generations, making it a natural hub for this specialized handicraft.",wooden-mask-wall-hanging-dakshin-dinajpur
West Bengal,Darjeeling,Darjeeling Tea,No,350000,2000000,60-75%,10-16 months,8,"Darjeeling district sits on the steep Himalayan foothills between 600-2000m elevation, creating the unique microclimate that produces the characteristic musky-floral astringent tea. Over 30,000 hectares of tea gardens surround Kalimpong and Darjeeling town, with established supply chains to processing units and direct access to North India's tea trading hubs. Proximity to Siliguri railway junction (60km) and Bengal/Assam border ensures year-round buyer connectivity.",darjeeling-tea-darjeeling
West Bengal,Hooghly,Dhaniakhali Saree,No,200000,800000,50-65%,10-16 months,7,"Hooghly is West Bengal's primary handloom textile hub with 6 active weaving clusters (Dhaniakhali, Haripal, Rajbalhat, Rasidpur, Dwarhata, Ramnagar). Sar reed bamboo grows locally and is processed within the district, reducing raw material costs. The cluster has 3+ decades of artisan expertise and proximity to Kolkata's retail and export markets.",dhaniakhali-saree-hooghly
West Bengal,Howrah,Gems & Jewellery,No,300000,1500000,50-65%,10-16 months,8,"Howrah has two established jewelry clusters — Ananda Niketan and Jewellery Park — with access to diamonds, gold, and precious stones supply chains. The district's 4.8M population and proximity to Kolkata (metro of 15M+) provides ready buyer markets. Over 500,000 goldsmiths exist across India, with West Bengal among the top 5 states for organized retail jewelry.",gems-jewellery-howrah
West Bengal,Jalpaiguri,Tea,No,1500000,5000000,60-75%,10-16 months,,"Jalpaiguri's location in the foothills of the Himalayas along the Teesta river creates the ideal micro-climate for cultivating high-grade tea. The district's temperate weather, naturally mineral-rich soil, and 17,000+ hectares of tea gardens make it one of India's finest tea-producing regions. The region's 150+ years of tea cultivation expertise and established supply chains provide immediate market access.",tea-jalpaiguri
West Bengal,Jhargram,Sal leaf based products,No,150000,500000,50-65%,6-10 months,6,"Jhargram has abundant sal tree forests across its 3018 sq km area, providing raw materials year-round. Tribal communities, particularly women, have collected and processed sal leaves for generations, creating a skilled artisan base of thousands. The district's proximity to regional markets in West Bengal and buyer networks from institutional canteens and festivals creates immediate demand channels.",sal-leaf-based-products-jhargram
West Bengal,Kalimpong,Orchid & Flowers,No,250000,1500000,60-75%,12-18 months,,"Kalimpong's elevation (1250m), cool temperate climate, and high rainfall create ideal conditions for premium orchid cultivation. The district has a 150+ year horticultural tradition dating to British colonial era when orchid nurseries were established. Local expertise in nursery management and flower care is deeply embedded in the community.",orchid-flowers-kalimpong
West Bengal,Kolkata,Leather goods,No,250000,1500000,50-65%,10-16 months,7,"Kolkata has a multi-generational leather craftsmanship heritage passed down through families, with raw leather sourced locally and regionally. Kasba Industrial Estate concentrates 7 manufacturers, creating a ready supplier ecosystem for hides, dyes, and hardware. Buyer proximity is exceptional — retail haats like Brisul Haat, Entally, Bagree, and Barabazar move inventory directly to urban consumers and regional wholesalers.",leather-goods-kolkata
West Bengal,Malda,Silk and Silk products,No,250000,1500000,50-65%,10-16 months,7,"Malda has 165.5 km of border access with Bangladesh, enabling raw material flow and cross-border trade routes. The district's tribal population has 300+ years of sericulture expertise, with cocoon rearing and silk throwing deeply embedded in village economies. Proximity to Bengali and North Indian markets, combined with low raw material costs (mulberry leaves grown locally), creates a 40% cost advantage over southern silk clusters.",silk-and-silk-products-malda
West Bengal,Murshidabad,Murshidabad Silk Saree/Scarf,No,250000,1500000,60-75%,9-16 months,8,"Murshidabad sits on the Bhagirathi River, which provides water for sericulture and silk processing. The entire value chain—cocoon sourcing to weaving to printing—is clustered here with 5000+ weavers and artisans. Raw Bombyx mori silkworm cocoons are sourced locally and from nearby districts, reducing material procurement time and cost.",murshidabad-silk-saree-scarf-murshidabad
West Bengal,Nadia,"Tangail, Jamdani Saree & Shantipore Saree",No,150000,1000000,50-65%,10-16 months,8,"Nadia district sits at the confluence of Bengal's weaving tradition and raw material proximity — silk yarns and muslin fabrics sourced within 150km. Three established clusters (Phulia, Tangail, Santiniketan) employ 15,000+ artisans producing 2,000+ sarees monthly. Domestic demand from West Bengal, Delhi, Mumbai; export routes to UK, US, Japan via Kolkata port 90km away.",tangail-jamdani-saree-shantipore-saree-nadia
